LWAY,"Lifeway Foods",NASDAQ,True,17.00
NTZ,"Natuzzi S.P.A.",NYSE,True,2.07
OB,"Onebeacon Insurance Group",NYSE,False,14.50
ONP,"Orient Paper",AMEX,False,1.87
PLUS,"Eplus Inc.",NASDAQ,True,55.50
LCUT,"Lifetime Brands",NASDAQ,True,13.67
ALJ,"Alon USA Energy",NYSE,True,11.28
BX,"The Blackstone Group L.P.",NYSE,True,21.67
VTG,"Vantage Drilling Company",AMEX,True,1.71
TISI,"Team",NYSE,False,39.22
GURE,"Gulf Resources",NASDAQ,True,1.72
BOBE,"Bob Evans Farms",NASDAQ,True,47.64
ROVI,"Rovi Corp.",NASDAQ,True,18.68
AEE,"Ameren Corp.",NYSE,True,34.07
EAT,"Brinker International",NYSE,True,41.88
THRX,"Theravance",NASDAQ,False,36.09
TWI,"Titan International",NYSE,True,16.72
UNH,"Unitedhealth Group Inc.",NYSE,True,71.40
MFM,"Mfs Muni Income Trust",NYSE,True,6.00
IMMR,"Immersion Corp.",NASDAQ,True,13.11
ORBT,"Orbit International Corp.",NASDAQ,True,3.40
ELS,"Equity Lifestyle Properties",NYSE,False,36.05
OPK,"Opko Health Inc",NYSE,False,7.85
UPIP,"Unwired Planet Inc",NASDAQ,True,1.70
CAS,"Castle [A.M.] & Co.",NYSE,False,16.13
HSON,"Hudson Global Inc",NASDAQ,False,2.65
OMCL,"Omnicell",NASDAQ,True,22.56
FBIZ,"First Business Financial Services",NASDAQ,False,32.65
ENDP,"Endo Pharmaceuticals Holdings Inc.",NASDAQ,True,37.73
JIVE,"Jive Software Inc.",NASDAQ,False,12.65
ASBI,"Ameriana Bancorp",NASDAQ,True,10.90
ALGT,"Allegiant Travel Company",NASDAQ,True,95.05
C,"Citigroup Inc.",NYSE,True,50.86
LEE,"Lee Enterprises Inc.",NYSE,True,2.58
HCA,"Hca Holdings Inc. Common Stock",NYSE,True,38.41
GEVO,"Gevo",NASDAQ,True,1.80
OFED,"Oconee Federal Financial",NASDAQ,False,17.25
TGC,"Tengasco",AMEX,True,0.50
TUES,"Tuesday Morning",NASDAQ,True,11.01
